quarter,manufacturer,registrations,lag_q,lag_y,qoq_pct,yoy_pct
2024-04-01,General Motors India Pvt Ltd,2,13.0,6.0,-84.62,-66.67
2024-04-01,Sainik Cycle Mart,2,8.0,39.0,-75.0,-94.87
2024-04-01,Enigma Automobiles Pvt Ltd,2,8.0,,-75.0,
2024-04-01,"Sai Engineering,Mahipur",2,,,,
2024-04-01,Sai Agro Industries,2,8.0,6.0,-75.0,-66.67
2024-04-01,Quality Engineering Work,2,6.0,34.0,-66.67,-94.12
2024-04-01,Punjab Hydrolic & Engineers,2,6.0,,-66.67,
2024-04-01,Prince Agro Works,2,7.0,10.0,-71.43,-80.0
2024-04-01,Swastik Engineering Works,2,10.0,12.0,-80.0,-83.33
2024-04-01,Jiangsu Dalong (Importer: Engtian Electric),2,4.0,6.0,-50.0,-66.67
2024-04-01,Jiangsu Guowei (Importer: Reveal Electric),2,10.0,43.0,-80.0,-95.35
2024-04-01,Jiangsu Xinri E-Vehicle(Importer Swift Cur.Tech.),2,18.0,75.0,-88.89,-97.33
2024-04-01,Twin Green Tech Pvt Ltd,2,,,,
2024-04-01,Tyst Drive India Pvt Ltd,2,10.0,24.0,-80.0,-91.67
2024-04-01,John Deere India Pvt Ltd(Crop Solution Div),2,36.0,81.0,-94.44,-97.53
2024-04-01,Joyram Steel Fabrication Works,2,9.0,21.0,-77.78,-90.48
2024-04-01,Autolite (India) Limited,2,3.0,124.0,-33.33,-98.39
2024-04-01,Valdo Tractors Pvt Ltd,2,8.0,,-75.0,
2024-04-01,Aum Engineering And Works,2,10.0,4.0,-80.0,-50.0
2024-04-01,Vashan Agriculture Works,2,4.0,18.0,-50.0,-88.89
2024-04-01,Kailash Welding Work Ap1913663560,2,,,,
2024-04-01,Kaiser Willys Jeep,2,1.0,,100.0,
2024-04-01,"Ashok Fabric & Engg,Rairakhol",2,6.0,4.0,-66.67,-50.0
2024-04-01,Microautotech Pvt. Ltd.,2,2.0,,0.0,
2024-04-01,Vijayalakshimi Engg Works,2,2.0,14.0,0.0,-85.71
2024-04-01,Vijayalakshmi Industries,2,6.0,7.0,-66.67,-71.43
2024-04-01,Bharath Agro Products,2,8.0,6.0,-75.0,-66.67
2024-04-01,Jay Bhavani Trailor,2,16.0,6.0,-87.5,-66.67
2024-04-01,Om Shree Sai Engineering,2,10.0,21.0,-80.0,-90.48
2024-04-01,Ishwar Farmline Equipments Pvt Ltd,2,20.0,59.0,-90.0,-96.61
2024-04-01,Pratyaksha Tractors Pvt Ltd,2,2.0,,0.0,
2024-04-01,Homfeel Vegh Automobiles Pvt Ltd,2,2.0,,0.0,
2024-04-01,T Anil Kumar Reddy Ap66060052023,2,,,,
2024-04-01,Pragati Agriculture,2,3.0,1.0,-33.33,100.0
2024-04-01,Tao Power Private Limited,2,15.0,7.0,-86.67,-71.43
2024-04-01,Creative Engineerings,2,3.0,9.0,-33.33,-77.78
2024-04-01,Poddar Industries,2,3.0,16.0,-33.33,-87.5
2024-04-01,Channy Agro Industries,2,14.0,9.0,-85.71,-77.78
2024-04-01,Omega Construction Equipment Pvt Ltd,2,11.0,21.0,-81.82,-90.48
2024-04-01,Pauniya Tractors And Farm Equipment Pvt Ltd,2,9.0,12.0,-77.78,-83.33
2024-04-01,Paul Industries,2,10.0,12.0,-80.0,-83.33
2024-04-01,Tirupati Distributor,2,2.0,,0.0,
2024-04-01,Blix Cycles And E-Vehicles Pvt Ltd,2,7.0,41.0,-71.43,-95.12
2024-04-01,Jadhav Agro Industries Pvt. Ltd.,2,3.0,15.0,-33.33,-86.67
2024-04-01,Traclaxx Tractors Pvt Ltd,2,15.0,228.0,-86.67,-99.12
2024-04-01,Jai Durga Trailers,2,4.0,,-50.0,
2024-04-01,Lotey Agriculture Works,2,6.0,51.0,-66.67,-96.08
