quarter,manufacturer,registrations,lag_q,lag_y,qoq_pct,yoy_pct
2024-04-01,Bull Machines Pvt Ltd,384,690.0,693.0,-44.35,-44.59
2024-04-01,Js Mobileon Pvt Ltd,376,433.0,612.0,-13.16,-38.56
2024-04-01,Jajodia Commodities Pvt Ltd,368,648.0,566.0,-43.21,-34.98
2024-04-01,Liugong India Pvt. Ltd,365,481.0,716.0,-24.12,-49.02
2024-04-01,Archit Enterprises,364,660.0,744.0,-44.85,-51.08
2024-04-01,G & G Automotive,358,711.0,940.0,-49.65,-61.91
2024-04-01,Hundal Industries,356,422.0,894.0,-15.64,-60.18
2024-04-01,Bounce Electric 1 Pvt Ltd,349,2364.0,3691.0,-85.24,-90.54
2024-04-01,Shakti Auto Green,348,477.0,506.0,-27.04,-31.23
2024-04-01,Porsche Ag Germany,343,432.0,476.0,-20.6,-27.94
2024-04-01,Baba E-Vehicles,338,405.0,1085.0,-16.54,-68.85
2024-04-01,New Arcana India,330,420.0,966.0,-21.43,-65.84
2024-04-01,Pari Metro E Rickshaw,322,358.0,618.0,-10.06,-47.9
2024-04-01,Mac Auto India,316,351.0,561.0,-9.97,-43.67
2024-04-01,Ssev Enterprises Private Limited,312,360.0,549.0,-13.33,-43.17
2024-04-01,Adico Escorts Agri Equipments Pvt. Ltd.,309,1470.0,663.0,-78.98,-53.39
2024-04-01,Bajaj Implements Pvt. Ltd,306,470.0,701.0,-34.89,-56.35
2024-04-01,3S Industries Private Limited,300,574.0,85.0,-47.74,252.94
2024-04-01,Rana Engineer Works,299,596.0,208.0,-49.83,43.75
2024-04-01,Ivoomi Innovation Pvt Ltd,298,696.0,1935.0,-57.18,-84.6
2024-04-01,Kion India Pvt Ltd,295,358.0,560.0,-17.6,-47.32
2024-04-01,Mahtab Body Maker,292,586.0,523.0,-50.17,-44.17
2024-04-01,Super Metro Industries,284,414.0,1035.0,-31.4,-72.56
2024-04-01,Pythox Motors Pvt Ltd,282,302.0,180.0,-6.62,56.67
2024-04-01,Plaudit Techno India Pvt Ltd,278,214.0,6.0,29.91,4533.33
2024-04-01,Doosan Bobcat India Pvt Ltd,278,314.0,366.0,-11.46,-24.04
2024-04-01,Rcj Auto Forge Pvt Ltd,275,447.0,467.0,-38.48,-41.11
2024-04-01,Dys Impex Private Limited,275,460.0,400.0,-40.22,-31.25
2024-04-01,Extra Fast Solutions,272,399.0,333.0,-31.83,-18.32
2024-04-01,Om Raj Autotech Llp,271,568.0,801.0,-52.29,-66.17
2024-04-01,Apsara Enterprise,268,393.0,375.0,-31.81,-28.53
2024-04-01,Chauhan Auto Industries,266,320.0,345.0,-16.88,-22.9
2024-04-01,Entice Impex Pvt Ltd,265,512.0,322.0,-48.24,-17.7
2024-04-01,Avon Cycles Ltd,263,386.0,605.0,-31.87,-56.53
2024-04-01,Tork Motors Pvt Ltd,260,1516.0,1017.0,-82.85,-74.43
2024-04-01,G.K E-Vehicls Industries Pvt Ltd,260,346.0,,-24.86,
2024-04-01,Shri Namo Electric Automotive,260,307.0,459.0,-15.31,-43.36
2024-04-01,Duke Auto India,254,406.0,690.0,-37.44,-63.19
2024-04-01,Benling India Energy And Technology Pvt Ltd,253,439.0,2618.0,-42.37,-90.34
2024-04-01,Hunda Ev Pvt Ltd,252,402.0,,-37.31,
2024-04-01,Greenwheels Automobile Pvt Ltd,250,366.0,654.0,-31.69,-61.77
2024-04-01,Wirtgen India Pvt Ltd,249,347.0,309.0,-28.24,-19.42
2024-04-01,Zenthium Ev Pvt Ltd,246,660.0,467.0,-62.73,-47.32
2024-04-01,Gagan Automotives,245,478.0,70.0,-48.74,250.0
2024-04-01,Godawari Electric Motors Pvt Ltd,245,308.0,46.0,-20.45,432.61
2024-04-01,Attolent Auto Group Pvt Ltd,243,391.0,628.0,-37.85,-61.31
2024-04-01,Aadhya Enterprises,243,470.0,732.0,-48.3,-66.8
2024-04-01,Divya Enterprises,240,366.0,698.0,-34.43,-65.62
